5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
59.9101 	EXP 	fixation: autoDraw = False
59.9148 	EXP 	New trial (rep=35, index=0): None
59.9267 	EXP 	fixation: autoDraw = False
59.9267 	EXP 	grating: autoDraw = False
59.9267 	EXP 	grating: ori = -2.0
59.9267 	EXP 	fixation: autoDraw = True
59.9267 	EXP 	grating: autoDraw = True
60.2267 	EXP 	grating: autoDraw = False
60.4801 	DATA 	Keypress: up
60.9267 	EXP 	fixation: autoDraw = False
60.9315 	EXP 	New trial (rep=36, index=0): None
60.9433 	EXP 	fixation: autoDraw = False
60.9433 	EXP 	grating: autoDraw = False
60.9433 	EXP 	grating: ori = 0.0
60.9433 	EXP 	fixation: autoDraw = True
60.9433 	EXP 	grating: autoDraw = True
61.2435 	EXP 	grating: autoDraw = False
61.3304 	DATA 	Keypress: up
61.9432 	EXP 	fixation: autoDraw = False
61.9477 	EXP 	New trial (rep=37, index=0): None
61.9598 	EXP 	fixation: autoDraw = False
61.9598 	EXP 	grating: autoDraw = False
61.9598 	EXP 	grating: ori = 4.0
61.9598 	EXP 	fixation: autoDraw = True
61.9598 	EXP 	grating: autoDraw = True
62.2602 	EXP 	grating: autoDraw = False
62.3472 	DATA 	Keypress: up
62.9601 	EXP 	fixation: autoDraw = False
62.9654 	EXP 	New trial (rep=38, index=0): None
62.9767 	EXP 	fixation: autoDraw = False
62.9767 	EXP 	grating: autoDraw = False
62.9767 	EXP 	grating: ori = 0.0
62.9767 	EXP 	fixation: autoDraw = True
62.9767 	EXP 	grating: autoDraw = True
63.2764 	EXP 	grating: autoDraw = False
63.3302 	DATA 	Keypress: down
63.9766 	EXP 	fixation: autoDraw = False
63.9814 	EXP 	New trial (rep=39, index=0): None
63.9935 	EXP 	fixation: autoDraw = False
63.9935 	EXP 	grating: autoDraw = False
63.9935 	EXP 	grating: ori = 0.0
63.9935 	EXP 	fixation: autoDraw = True
63.9935 	EXP 	grating: autoDraw = True
64.2930 	EXP 	grating: autoDraw = False
64.5300 	DATA 	Keypress: up
64.9929 	EXP 	fixation: autoDraw = False
